name,site_url,feed_url,language,directory_group,status,show_in_directory,include_in_latest,notes
Welcome to the Garden,https://whimsies.bearblog.dev/,https://whimsies.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
What the Fran,https://francescrossley.com/,https://francescrossley.com/feed/,Unspecified,alphabetical,included,yes,yes,
Whats Occurin' ?,https://www.youtube.com/channel/UCAv8L8WQAZqClsJItHwIDqw,https://www.youtube.com/feeds/videos.xml?channel_id=UCAv8L8WQAZqClsJItHwIDqw,Unspecified,alphabetical,included,yes,yes,
When a Gamer Girl Grows up,https://grownupgamergirl.wordpress.com/,https://grownupgamergirl.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Why I Game,https://whyigame.wordpress.com/,http://whyigame.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Words and essays and more,https://www.omz13.com/,https://www.omz13.com/feed.rss,Unspecified,alphabetical,included,yes,yes,
Words Under My Name,https://wordsundermyname.wordpress.com/,https://wordsundermyname.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
wry writer,https://wrywriter.ca,https://wrywriter.ca/posts_feed,Unspecified,alphabetical,included,yes,yes,
WW0CJ,https://ww0cj.radio/,https://ww0cj.radio/feed/,Unspecified,alphabetical,included,yes,yes,
X2600,https://write.as/blog-x2600/,https://write.as/blog-x2600/feed/,Unspecified,alphabetical,included,yes,yes,
Yordi - A Lifelong Journey of Growth,https://yordi.me/,https://yordi.me/feed/,Unspecified,alphabetical,included,yes,yes,
#デザイン 記事まとめ,https://note.com/notemagazine/m/m57787022cedc,https://note.mu/notemag/m/m57787022cedc/rss,Japanese,other-languages,included,yes,yes,
